run_id,run_type,model_version,parameter_set_id,dataset_version,source_dataset_version,country_id,policy_id,policy_variant_id,gmi_version,scenario_id,regime_id,requirement_basis,xi,h_star,h_star_status,h_star_reporting_cap,endpoint_year_at_h_star,threshold_value,threshold_at_h_star,threshold_at_h_minus_1,v_at_h_star,v_at_h_minus_1,mfc_tilde_gross,phi_y_nominal,translation_factor,annual_ai_growth,fixed_cost_gdp,cost_2024_gdp,cost_at_h_star_gdp,spb_plus_gdp,flags,source_fiscal_space_hash,convention_note,source_threshold_flags
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,PBI,PBI,,mid,r1,baseline,0.5,,censored_beyond_defensible_horizon,25,,1.5,,,,0.05995511454927676,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0008656945743958872,0.07576692890942052,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,PBI,PBI,,mid,r1,debt_consistent,0.5,,censored_beyond_defensible_horizon,25,,1.5,,,,0.05995511454927676,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0008656945743958872,0.07576692890942052,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,baseline,0.0,,censored_beyond_defensible_horizon,25,,1.0,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,debt_consistent,0.0,,censored_beyond_defensible_horizon,25,,1.0,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,baseline,0.05,,censored_beyond_defensible_horizon,25,,1.05,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,debt_consistent,0.05,,censored_beyond_defensible_horizon,25,,1.05,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,baseline,0.1,,censored_beyond_defensible_horizon,25,,1.1,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,debt_consistent,0.1,,censored_beyond_defensible_horizon,25,,1.1,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,baseline,0.25,,censored_beyond_defensible_horizon,25,,1.25,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,debt_consistent,0.25,,censored_beyond_defensible_horizon,25,,1.25,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
official_4c_hstar_extension_baseline_official_v3,post_baseline_extension,deterministic-engine-v1_hstar-extension,baseline-official-v3,v1.1.0-official-4c,v1.0.1-official-4c,PER,UBI,UBI,,mid,r1,baseline,0.5,,censored_beyond_defensible_horizon,25,,1.5,,,,0.024207925153723588,0.0893889881373077,0.00425,0.6015192506391475,0.002556456815216377,0.0007214121453298873,0.2135791728895036,,0.007106971419037426,censored_beyond_defensible_horizon,f0cb7f1cf58d6cb2db420beb651225d9c510db5f28a62ace0a160b4ea43de3a7,"H* extiende la persistencia congelada del escenario de H=10 a H variable; es un REQUERIMIENTO condicional (anos de persistencia necesarios), no un pronostico de calendario.",frontier_exceeds_one;ai_rent_capture_impossible
